user_id,user_name,city,effective_from,effective_to,is_current
U1,user_0,Mumbai,2026-01-01,,True
U2,user_1,Delhi,2026-01-01,,True
U3,user_2,Jaipur,2026-01-01,,True
U4,user_3,Mumbai,2026-01-01,,True
U5,user_4,Delhi,2026-01-01,,True
U6,user_5,Mumbai,2026-01-01,,True
U7,user_6,Jaipur,2026-01-01,,True
U8,user_7,Bangalore,2026-01-01,,True
U9,user_8,Jaipur,2026-01-01,2026-04-15,False
U9,user_8,Bangalore,2026-04-16,,True
U10,user_9,Mumbai,2026-01-01,,True
U11,user_10,Mumbai,2026-01-01,,True
U12,user_11,Delhi,2026-01-01,,True
U13,user_12,Mumbai,2026-01-01,,True
U14,user_13,Bangalore,2026-01-01,,True
U15,user_14,Delhi,2026-01-01,,True
U16,user_15,Delhi,2026-01-01,2026-04-15,False
U16,user_15,Jaipur,2026-04-16,,True
U17,user_16,Jaipur,2026-01-01,,True
U18,user_17,Mumbai,2026-01-01,,True
U19,user_18,Jaipur,2026-01-01,,True
U20,user_19,Jaipur,2026-01-01,,True
U21,user_20,Delhi,2026-01-01,2026-04-15,False
U21,user_20,Bangalore,2026-04-16,,True
U22,user_21,Bangalore,2026-01-01,,True
U23,user_22,Bangalore,2026-01-01,,True
U24,user_23,Bangalore,2026-01-01,,True
U25,user_24,Mumbai,2026-01-01,,True
U26,user_25,Jaipur,2026-01-01,2026-04-15,False
U26,user_25,Mumbai,2026-04-16,,True
U27,user_26,Mumbai,2026-01-01,,True
U28,user_27,Delhi,2026-01-01,,True
U29,user_28,Jaipur,2026-01-01,,True
U30,user_29,Jaipur,2026-01-01,2026-04-15,False
U30,user_29,Bangalore,2026-04-16,,True
U31,user_30,Mumbai,2026-01-01,,True
U32,user_31,Bangalore,2026-01-01,2026-04-15,False
U32,user_31,Jaipur,2026-04-16,,True
U33,user_32,Bangalore,2026-01-01,2026-04-15,False
U33,user_32,Jaipur,2026-04-16,,True
U34,user_33,Mumbai,2026-01-01,,True
U35,user_34,Jaipur,2026-01-01,2026-04-15,False
U35,user_34,Bangalore,2026-04-16,,True
U36,user_35,Jaipur,2026-01-01,,True
U37,user_36,Jaipur,2026-01-01,,True
U38,user_37,Mumbai,2026-01-01,,True
U39,user_38,Bangalore,2026-01-01,,True
U40,user_39,Mumbai,2026-01-01,,True
U41,user_40,Bangalore,2026-01-01,,True
U42,user_41,Mumbai,2026-01-01,,True
U43,user_42,Jaipur,2026-01-01,,True
U44,user_43,Delhi,2026-01-01,,True
